R1222538	6.869886e-02	6.663298e-02	8.289923e-01	8.474680e+00
R1222556	5.517037e-02	4.387713e-02	6.566001e-01	5.136252e+00
R1236382	2.712056e-01	1.901790e-01	6.878642e-01	5.278731e+00
R1237044	3.212017e-02	3.355612e-02	7.153075e-01	5.235688e+00
R1237112	3.530892e-02	4.849408e-02	1.236985e+00	1.167854e+01
R141333	3.064302e-02	3.848590e-02	8.535936e-01	7.081654e+00
R141334	2.814845e-02	4.747498e-02	1.000381e+00	1.103284e+01
R1474151	1.224886e-01	8.419641e-02	6.445818e-01	4.422223e+00
R1482788	4.799062e-02	6.531195e-02	8.200218e-01	7.299399e+00
R1482798	5.204876e-02	7.526850e-02	8.448870e-01	7.319302e+00
R1482839	5.572989e-02	7.803565e-02	9.135108e-01	7.136106e+00
R1483148	4.080777e-02	5.331197e-02	8.011891e-01	6.630144e+00
R1483166	7.195901e-02	6.190916e-02	6.901046e-01	6.169596e+00
R1483191	6.288789e-02	5.568189e-02	7.559631e-01	6.311212e+00
R1483213	4.036043e-02	4.615507e-02	7.665140e-01	6.076788e+00
R156581	1.304738e-01	7.984363e-02	6.081833e-01	4.299651e+00
R156582	6.746404e-02	6.675760e-02	7.743527e-01	6.094304e+00
R156584	1.624892e-01	1.645646e-01	8.253220e-01	6.450405e+00
R156588	1.533112e-01	1.205061e-01	7.826495e-01	7.103105e+00
R156590	1.187277e-01	9.819505e-02	7.273622e-01	6.069157e+00
R159418	6.584843e-02	7.969030e-02	9.238446e-01	7.650986e+00
R1614517	3.211015e-02	3.418650e-02	7.113968e-01	5.075401e+00
R1614558	3.128920e-02	3.562156e-02	8.624119e-01	7.667260e+00
R1614635	1.271868e-01	8.452851e-02	6.230796e-01	4.017089e+00
R1632852	7.708895e-02	8.093743e-02	7.018869e-01	5.225958e+00
R163560	5.031412e-02	4.198554e-02	6.912514e-01	5.187141e+00
R163841	6.339902e-02	7.568116e-02	9.366866e-01	8.230261e+00
R1660499	5.910303e-02	8.130853e-02	8.507831e-01	6.954438e+00
R1660514	5.139200e-02	6.712811e-02	8.049184e-01	6.960079e+00
R1660516	5.258489e-02	8.091491e-02	8.540232e-01	7.406842e+00
R1660517	3.022734e-02	3.909368e-02	8.159544e-01	6.394548e+00
R1660661	7.345039e-02	6.679560e-02	9.041023e-01	7.219150e+00
R1660662	1.870401e-01	1.910787e-01	7.922807e-01	7.141298e+00
R173599	8.735066e-02	8.421020e-02	7.091654e-01	5.012037e+00
R174403	2.472325e-02	3.112725e-02	1.072364e+00	1.047234e+01
R180024	3.063879e-02	4.229380e-02	8.272436e-01	7.281667e+00
R181430	3.565370e-02	3.601484e-02	8.215221e-01	6.740918e+00
R1855167	3.351325e-02	5.517931e-02	1.202169e+00	1.040406e+01
R1855183	2.045636e-02	3.118604e-02	1.156039e+00	1.078766e+01
R1855191	5.664854e-02	1.006713e-01	1.117048e+00	9.536893e+00
R1855204	2.655210e-02	3.643232e-02	1.126209e+00	9.337023e+00
R187630	2.212741e-02	3.182682e-02	9.697857e-01	8.662343e+00
R189085	7.680038e-02	1.002894e-01	7.989968e-01	6.297321e+00
R189451	6.352876e-02	6.303659e-02	8.123075e-01	7.931039e+00
R189483	1.002356e-01	8.726805e-02	7.682491e-01	6.585743e+00
R191273	1.104842e-01	1.045369e-01	8.925128e-01	8.026696e+00
R192105	3.706153e-02	4.408984e-02	8.254713e-01	7.344372e+00
R192456	4.112042e-02	5.773023e-02	8.338035e-01	7.346732e+00
R193048	5.995628e-02	6.476334e-02	8.293710e-01	7.252690e+00
R193144	3.441034e-02	4.063210e-02	7.664838e-01	7.437843e+00
R193368	2.357006e-01	2.660487e-01	9.216408e-01	7.671971e+00
R193775	1.218457e-01	1.424184e-01	1.051607e+00	8.606822e+00
R193807	6.731289e-02	8.629877e-02	1.007573e+00	8.224163e+00
R193993	6.866594e-02	7.876889e-02	8.308877e-01	9.818235e+00
R194002	6.843880e-02	8.007714e-02	8.696796e-01	9.787572e+00
R196108	3.333161e-02	4.291848e-02	9.076983e-01	7.485920e+00
R196741	3.240335e-01	2.012413e-01	6.333720e-01	3.780180e+00
R196757	1.430275e-01	1.191768e-01	7.532878e-01	5.957366e+00
R196783	6.753781e-02	6.143932e-02	7.375785e-01	5.461760e+00
R196791	4.702445e-02	6.280402e-02	9.871378e-01	7.793917e+00
R196807	1.148628e-01	1.257416e-01	7.824531e-01	6.430481e+00
R196836	7.010340e-02	5.032586e-02	6.414993e-01	3.835990e+00
R196843	8.390247e-02	8.363125e-02	7.116755e-01	5.712452e+00
R197264	1.121360e-01	8.100874e-02	8.095235e-01	7.793047e+00
R198933	1.132595e-01	9.322071e-02	6.695702e-01	5.435547e+00
R1989781	5.337262e-02	5.420763e-02	8.046415e-01	6.880210e+00
R200425	5.202952e-02	4.631671e-02	6.811089e-01	4.406931e+00
R2024096	2.383161e-02	2.843615e-02	8.439156e-01	8.335348e+00
R2029485	4.674515e-02	5.107074e-02	7.793183e-01	6.086523e+00
R203615	8.519270e-02	5.733824e-02	6.154807e-01	4.447087e+00
R204174	6.325646e-02	5.083810e-02	6.599609e-01	4.535980e+00
R2046105	1.179956e-01	1.068040e-01	6.943087e-01	4.783837e+00
R2046106	2.263300e-01	2.059386e-01	6.816551e-01	4.951525e+00
R209905	5.055178e-02	5.031691e-02	7.971874e-01	6.687669e+00
R209931	5.952087e-02	6.070160e-02	8.821148e-01	6.720384e+00
R209968	6.150003e-02	6.569792e-02	8.507294e-01	8.373408e+00
R211916	4.717774e-02	6.005303e-02	9.821128e-01	7.740037e+00
R211935	3.406090e-02	4.342442e-02	8.958658e-01	8.275306e+00
R211945	1.013997e-01	6.755698e-02	6.688767e-01	4.922718e+00
R211957	3.548607e-02	3.973631e-02	7.744773e-01	6.680282e+00
R211958	3.246596e-02	3.641469e-02	7.199916e-01	7.017361e+00
R211976	1.049779e-01	1.358894e-01	1.015810e+00	8.590783e+00
R211979	5.656324e-02	6.435291e-02	8.665255e-01	6.519488e+00
R211981	1.350315e-01	8.746062e-02	6.249760e-01	4.115686e+00
R211994	4.422985e-02	6.116959e-02	1.136460e+00	9.477605e+00
R211999	2.632446e-02	3.376191e-02	9.164953e-01	8.528043e+00
R2142670	3.232345e-02	5.005810e-02	1.089459e+00	9.887115e+00
R2142688	3.596733e-02	3.749299e-02	8.132369e-01	6.621085e+00
R2142691	1.049118e-01	1.287454e-01	8.434527e-01	6.924918e+00
R2142700	6.080111e-02	6.195978e-02	7.676272e-01	7.113412e+00
R2142712	2.815713e-02	3.720679e-02	7.823133e-01	7.137773e+00
R2142753	2.527156e-02	2.864917e-02	7.827108e-01	6.163169e+00
R2142770	6.697283e-02	5.452190e-02	6.630089e-01	5.396515e+00
R2142789	7.523134e-02	7.871550e-02	1.062663e+00	8.307286e+00
R2142816	2.974393e-02	3.977687e-02	9.641746e-01	8.090667e+00
R2151201	4.767706e-02	4.112742e-02	6.640039e-01	5.040056e+00
R2161541	1.364983e-01	1.317065e-01	7.580151e-01	6.479406e+00
R2162123	1.430896e-01	1.599272e-01	1.072741e+00	9.483150e+00
R217271	4.972948e-02	4.585908e-02	7.312828e-01	5.626483e+00
R2187335	4.997396e-02	5.184581e-02	8.115502e-01	7.650647e+00
R2219530	1.858128e-01	1.110838e-01	6.246770e-01	4.106229e+00
R2299718	3.158588e-02	3.641513e-02	7.653485e-01	6.364315e+00
R2393930	1.955320e-01	1.979916e-01	7.210452e-01	5.393524e+00
